"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_TypeDescription","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_prct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoGEast_mm","Dry_CoGNorth_mm","Dry_CoGElevation_mm","Price_Source","CostProj_currency","Cost_Date","Exch_rate","NOK","Pressure_1Barg","Pressure_2Barg","Temp_1degC","Temp_2degC","Flow_rate_1m3_or_hr","Flow_rate_2m3_or_hr","Capacity_m3","Heat_transfer_medium_type","SpeedRPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Aream2","Material_1","Material_2","Reference_or_Source","Referencedoc_dwg_PID_etc","RiskWeight_accuracy","RiskFootprint_accuracy","RiskDesign_basis","Risk_comments","Remarks","Iso_159264_Physical_RDL_","Iso_159264_Physical_Description_","Iso_159264_Activity_RDL_","Iso_159264_Activity_Description_","Posccesar_RDL_"
,,"E","EEEY","A-19EY001",,,"-","19",,"DEH Inductor L1 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","3600","1300","2700","4.68",,,"PERM","0.15","7200","8280",,"335352","372265","508350",,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
,,"E","EEEY","A-19EY002",,,"-","19",,"DEH Capacitance C1 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","3600","1300","2400","4.68",,,"PERM","0.15","2200","2530",,"327353","372262","508200",,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
,,"E","EEEY","A-19EY003",,,"-","19",,"DEH Capacitance C2 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room","3600","1300","2400","4.68",,,"PERM","0.15","3800","4370",,"340352","372265","508200",,,,,,,,,,,,,,,,," ",,,,,,,,,,"for the HP pipeline , to be decided on c study   phase ",,,,,
"NEW",,"J","EJJB","A-19JQ001",,,"CPI","19",,"Subsea contractor network cabinet SDPU","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","200","230",,"332000","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ002",,,"CPI","19",,"Subsea contractor network cabinet SGRU A","Cellar deck","AQ200","CER 2","800","800","2200","0.64",,,"PERM","0.15","200","230",,"332802","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ003",,,"CPI","19",,"Subsea contractor network cabinet SGRU B","Cellar deck","AQ200","CER 2","800","800","2200","0.64",,,"PERM","0.15","200","230",,"333604","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ004",,,"CPI","19",,"Subsea contractor server cabinet SGSU","Cellar deck","AQ200","CER 2","800","800","2200","0.64",,,"PERM","0.15","200","230",,"336010","374740","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPA","A-20PA001A","NO","A-20PZ001A","ER007","20",,"Liquid Export Pump A","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,,,"304000","399000","501370",,,,,,,,,,"595",,,,,,,,,"22Cr Duplex",,,,,,,,,"http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL7379","A centrifugal pump where the impeller or impellers are mounted on a shaft between bearings.","http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL1420","Creating a pressure difference in a fluid stream in order to create its movement","http://data.posccaesar.org/rdl/RDS416834"
,,"E","ERPA","A-20PA001A-M01","NO","A-20PZ001A","ER007","20",,"Liquid Export Pump A Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,"1065",,,,,,,,,,,"http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL2963","An electric motor in which the torque or force is due to the interaction between a moving magnetic field produced by stationary primary windings and currents induced by this field in moving secondary conductors.",,,"http://data.posccaesar.org/rdl/RDS472994"
,,"R","ERPA","A-20PA001B","NO","A-20PZ001B","ER007","20",,"Liquid Export Pump B ","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,,,"304000","393000","501370",,,,,,,,,,"595",,,,,,,,,"22Cr Duplex",,,,,,,,,"http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL7379","A centrifugal pump where the impeller or impellers are mounted on a shaft between bearings.","http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL1420","Creating a pressure difference in a fluid stream in order to create its movement","http://data.posccaesar.org/rdl/RDS416834"
,,"E","ERPA","A-20PA001B-M01","NO","A-20PZ001B","ER007","20",,"Liquid Export Pump B Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,"1065",,,,,,,,,,,"http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL2963","An electric motor in which the torque or force is due to the interaction between a moving magnetic field produced by stationary primary windings and currents induced by this field in moving secondary conductors.",,,"http://data.posccaesar.org/rdl/RDS472994"
,,"R","ERPZ","A-20PZ001A","YES",,"ER007","20",,"Liquid Export Pump A Skid","Cellar deck","AP200","AP200","8500","2400","2400","20.4",,,"PERM","0.15","26500","30475",,"304000","399000","501370",,,,,,,,,,,,,,,,,,,"25Cr Duplex ",,,,,,,"Gas carry under percentage to be finalized in process design Noise enclosure details to be finlized ","Sulzer including lube oil system.  including estimate for noise enclosure(5000kg) ","http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL8141","A support with a fabricated structure intended to support items when being manufactured, transported, handled or installed.",,,"http://data.posccaesar.org/rdl/RDS14196773"
,,"R","ERPZ","A-20PZ001B","YES",,"ER007","20",,"Liquid Export Pump B Skid","Cellar deck","AP200","AP200","8500","2400","2400","20.4",,,"PERM","0.15","26500","30475",,"304000","393000","501370",,,,,,,,,,,,,,,,,,,"25Cr Duplex ",,,,,,,"Gas carry under percentage to be finalized in process design Noise enclosure details to be finlized ","Sulzer including lube oil system.  including estimate for noise enclosure(5000kg) ","http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL8141","A support with a fabricated structure intended to support items when being manufactured, transported, handled or installed.",,,"http://data.posccaesar.org/rdl/RDS14196773"
,,"R","ERVA","A-20VA001",,,"ER002","20",,"Inlet Separator","Mezzanine deck","AP300","AP300,AP400","0","3500","6600","12.25",,,"PERM","0.15","106600","122590","80000","301200","387000","510447.5",,,,,,"100","FV","-46","125",,,"80",,,,,,,"P500QL2 + Alloy 625 w.o.","internals 22Cr Duplex",,,,,,"Design pressure increased Slug volume uncertainty (flow assurance) Gas carry under uncertainty ","SLB proposal (rev 3) , vertical 2 phase separator with hemispherical heads . (weight of internals:9000kg)","http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL8595","A separator intended to separate liquid from a vapour","http://standards.tc184-sc4.org/iso/15926/tech/reference-data#RDL803","Physical separation to generate vapour and liquid from a mixture by lowering the pressure (flashing) and separation of the vapor from the liquid using gravity","http://data.posccaesar.org/rdl/RDS2194378711"
,,"R","ERCB","A-24CB001A","NO","A-24XX001","ER010","24",,"TEG Particle Filter","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"150","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Vessel with 5 microns filter elements",,,,,
,,"R","ERCB","A-24CB001B","NO","A-24XX001","ER010","24",,"TEG Particle Filter","Process deck","AP400","SKID TEG",,,,,,,"PERM","0.15","0","0","150",,,,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"added based on Fucntional requirements documet ",,,,,
,,"R","ERCB","A-24CB002","NO","A-24XX001","ER010","24",,"Activated Carbon Filter","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"10","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,,,
"DIFF",,"R","ERCJ","A-24CJ001",,,"ER006","24",,"G2P Mixer 1 ","Process deck","AP400","AP400","1400","700","700","0.98",,,"PERM","0.15","595","684.25",,"314126","383249","516563",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,"Single source due to Equinor Qualification ","Weight / size  based on Prosep  propsal for Askja UPP",,,,,
"DIFF",,"R","ERCJ","A-24CJ002",,,"ER006","24",,"G2P Mixer 2","Process deck","AP400","AP400","1400","700","700","0.98",,,"PERM","0.15","595","684.25",,"314263","384362","516563",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,"Single source due to Equinor Qualification ","Weight / size  based on Prosep  propsal for Askja UPP",,,,,
