"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_Type_Description","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_pct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoG_East_mm","Dry_CoG_North_mm","Dry_CoG_Elevation_mm","Price_Source","Cost_Proj_currency","Cost_Date","Exch_rate","NOK","Pressure_1_barg","Pressure_2_barg","Temp_1_degC","Temp_2_degC","Flow_rate_1_m3_per_hr","Flow_rate_2_m3_per_hr","Capacity_m3","Heat_transfer_medium_type","Speed_RPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Area_m2","Material_1","Material_2","Reference_or_Source","Reference_doc_dwg_PID_etc","Risk_Weight_accuracy","Risk_Footprint_accuracy","Risk_Design_basis","Risk_comments","Remarks","CLASS_OF_ACTIVITY","CLASS_OF_FUNCTIONAL_OBJECT","CLASS_OF_INANIMATE_PHYSICAL_OBJECT"
"NEW",,"E","EEEX","A-19EX001",,,"-",19.0,,"Cable Routing Cabinet","Mezzanine deck","AQ300","HV equipment room",1000.0,800.0,2200.0,0.8,,,"PERM",0.15,300.0,575.0,,326529.0,379970.0,509400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase",,,
,,"E","EEEY","A-19EY001",,,"-",19.0,,"DEH Inductor L1 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room",3600.0,1300.0,2700.0,4.68,,,"PERM",0.15,7200.0,8280.0,,335352.0,372265.0,508350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase",,,
,,"E","EEEY","A-19EY002",,,"-",19.0,,"DEH Capacitance C1 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room",3600.0,1300.0,2400.0,4.68,,,"PERM",0.15,2200.0,2530.0,,327353.0,372262.0,508200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase",,,
,,"E","EEEY","A-19EY003",,,"-",19.0,,"DEH Capacitance C2 Unit Central and Krafla LP Pipeline","Mezzanine deck","AQ300","HV equipment room",3600.0,1300.0,2400.0,4.68,,,"PERM",0.15,3800.0,4370.0,,340352.0,372265.0,508200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"for the HP pipeline , to be decided on c study   phase",,,
"NEW",,"J","EJJB","A-19JQ001",,,"CPI",19.0,,"Subsea contractor network cabinet SDPU","Cellar deck","AQ200","CER 2",1000.0,800.0,2200.0,0.8,,,"PERM",0.15,200.0,229.99999999999997,,332000.0,374740.0,502360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ002",,,"CPI",19.0,,"Subsea contractor network cabinet SGRU A","Cellar deck","AQ200","CER 2",800.0,800.0,2200.0,0.64,,,"PERM",0.15,200.0,229.99999999999997,,332802.0,374740.0,502360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ003",,,"CPI",19.0,,"Subsea contractor network cabinet SGRU B","Cellar deck","AQ200","CER 2",800.0,800.0,2200.0,0.64,,,"PERM",0.15,200.0,229.99999999999997,,333604.0,374740.0,502360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"J","EJJB","A-19JQ004",,,"CPI",19.0,,"Subsea contractor server cabinet SGSU","Cellar deck","AQ200","CER 2",800.0,800.0,2200.0,0.64,,,"PERM",0.15,200.0,229.99999999999997,,336010.0,374740.0,502360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEER","A-20ER001A",,,"ER007",20.0,,"VSD Liquid Export Pump A","Mezzanine deck","AQ400","HV VSD room",3300.0,1150.0,2400.0,3.795,,,"PERM",0.15,4500.0,5175.0,,333271.0,398994.0,516415.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
"DIFF",,"E","EEER","A-20ER001B",,,"ER007",20.0,,"VSD Liquid Export Pump B","Mezzanine deck","AQ400","HV VSD room",3300.0,1150.0,2400.0,3.795,,,"PERM",0.15,4500.0,5175.0,,333279.0,395644.0,516386.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"R",,"A-20LE001",,,"-",20.0,,"Temporary Pig Launcher - Liquid Export (for RFO and R113 inspection)","Mezzanine deck","AP300","AP300 CANTILEVER",6200.0,400.0,400.0,2.48,,,"TEMP",0.15,6770.0,7785.499999999999,,297399.0,369000.0,508090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPA","A-20PA001A","NO","A-20PZ001A","ER007",20.0,,"Liquid Export Pump A","Cellar deck","AP200","SKID",0.0,0.0,0.0,0.0,,,"PERM",,,,,304000.0,399000.0,501370.0,,,,,,,,,,595.0,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"E","ERPA","A-20PA001A-M01","NO","A-20PZ001A","ER007",20.0,,"Liquid Export Pump A Motor","Cellar deck","AP200","SKID",0.0,0.0,0.0,0.0,,,"PERM",,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1065.0,,,,,,,,,,,,,
,,"R","ERPA","A-20PA001B","NO","A-20PZ001B","ER007",20.0,,"Liquid Export Pump B","Cellar deck","AP200","SKID",0.0,0.0,0.0,0.0,,,"PERM",,,,,304000.0,393000.0,501370.0,,,,,,,,,,595.0,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"E","ERPA","A-20PA001B-M01","NO","A-20PZ001B","ER007",20.0,,"Liquid Export Pump B Motor","Cellar deck","AP200","SKID",0.0,0.0,0.0,0.0,,,"PERM",,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1065.0,,,,,,,,,,,,,
"DIFF",,"R","ERPZ","A-20PZ001A","YES",,"ER007",20.0,,"Liquid Export Pump A Skid","Cellar deck","AP200","AP200",8500.0,2400.0,2400.0,20.4,,,"PERM",0.15,26500.0,30474.999999999996,,304000.0,399000.0,501370.0,,,,,,,,,,,,,,,,,,,"25Cr Duplex",,,,,,,"Gas carry under percentage to be finalized in process design  Noise enclosure details to be finlized","Sulzer including lube oil system.  including estimate for noise enclosure(5000kg)","http://data.posccaesar.org/rdl/RDS9657917","http://data.posccaesar.org/rdl/RDS278594","http://data.posccaesar.org/rdl/RDS14196773"
